Package             Version
------------------- ---------
aiohttp             3.9.3
aiosignal           1.3.1
altgraph            0.17.2
annotated-types     0.6.0
anyio               4.2.0
async-timeout       4.0.3
attrs               23.2.0
bleach              6.1.0
blinker             1.7.0
bokeh               3.3.4
boto3               1.34.43
botocore            1.34.43
certifi             2024.2.2
charset-normalizer  3.3.2
click               8.1.7
contourpy           1.2.0
dataclasses-json    0.6.4
distro              1.9.0
exceptiongroup      1.2.0
Flask               3.0.2
frozenlist          1.4.1
future              0.18.2
greenlet            3.0.3
h11                 0.14.0
httpcore            1.0.3
httpx               0.26.0
idna                3.6
importlib-metadata  7.0.1
iniconfig           2.0.0
itsdangerous        2.1.2
Jinja2              3.1.3
jmespath            1.0.1
jsonpatch           1.33
jsonpointer         2.4
langchain           0.1.7
langchain-community 0.0.20
langchain-core      0.1.23
langsmith           0.0.87
lark                1.1.9
linkify-it-py       2.0.3
macholib            1.15.2
Markdown            3.5.2
markdown-it-py      3.0.0
MarkupSafe          2.1.5
marshmallow         3.20.2
mdit-py-plugins     0.4.0
mdurl               0.1.2
multidict           6.0.5
mypy-extensions     1.0.0
numpy               1.26.4
openai              1.12.0
packaging           23.2
pandas              2.2.0
panel               1.3.8
param               2.0.2
pillow              10.2.0
pip                 24.0
pluggy              1.4.0
pycryptodome        3.20.0
pydantic            2.6.1
pydantic_core       2.16.2
pytest              8.0.0
python-dateutil     2.8.2
python-dotenv       1.0.1
pytz                2024.1
pyviz_comms         3.0.1
PyYAML              6.0.1
requests            2.31.0
s3transfer          0.10.0
secret              0.8
setuptools          58.0.4
six                 1.15.0
sniffio             1.3.0
SQLAlchemy          2.0.27
tabulate            0.9.0
tenacity            8.2.3
tomli               2.0.1
tornado             6.4
tqdm                4.66.2
typing_extensions   4.9.0
typing-inspect      0.9.0
tzdata              2024.1
uc-micro-py         1.0.3
urllib3             1.26.18
webencodings        0.5.1
Werkzeug            3.0.1
wheel               0.37.0
xyzservices         2023.10.1
yarl                1.9.4
zipp                3.17.0
