aeroplanes,flight
arrows,quiver
artillery,battery
artistes,troupe
asteroids,belt
bananas,hand
bandits,gang
bees,hive
birds,flight
boats,fleet
books,library
bread,batch
bullets,hail
bushes,hedge
cards,pack
cars,fleet
cattle,herd
clothes,outfit
clubs,set
coconuts,cluster
coins,roll
cotton,bale
crocks,bunch
curlew,herd
deer,mob
directors,board
drawers,chest
drinks,round
employees,staff
film,reel
flies,swarm
friends,party
fruit,basket
girls,bevy
goats,tribe
grain,sheaf
grapes,bunch
gulls,colony
gypsies,caravan
horses,drove
islands,archipelago
islands,group
judges,jury
keys,bunch
ladies,bevy
letters,packet
lions,troop
maps,atlas
men,body
money,rouleau
mountains,range
musicians,band
natives,tribe
notes,wad
onions,rope
paper,ream
pearls,rope
pearls,string
people,crowd
people,mob
players,team
poems,anthology
policemen,patrol
policemen,posse
prices,catalogue
prose,anthology
rice,bowl
rioters,mob
rubbish,heap
sails,fitting
savages,horde
scouts,troop
sheep,flock
ships,fleet
shoes,pair
soldiers,army
soldiers,regiment
sonnets,garland
spoons,serving
stairs,flight
stars,constellation
stars,galaxy
sticks,bundle
students,class
tasks,agenda
thieves,pack
trees,forest
vehic,leet
wheat,harvest
wild animals,zoo
wood,stack
