Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
Total                                                            26196      53.406      44.737     
:suspend                                                            51     102.620       0.000     
:elixir_module.do_compile/5                                          2      53.354       0.026     
:proc_lib.init_p/5                                                   1      52.608       0.008     
:proc_lib.init_p_do_apply/3                                          1      52.578       0.003     
:gen.init_it/6                                                       1      52.554       0.001     
:gen.init_it2/7                                                      1      52.553       0.002     
:gen_server.init_it/6                                                1      52.551       0.006     
:gen_server.loop/6                                                   3      52.493       0.023     
:erlang.put/2                                                       21      52.390       0.022     
:elixir_compiler.inner_module/5                                      2      51.046       0.030     
:compile.noenv_forms/2                                               2      41.474       0.002     
:compile.do_compile/2                                                2      41.472       0.026     
:erlang.apply/2                                                      2      41.343       0.007     
:compile."-do_compile/2-anonymous-0-"/2                              2      41.296       0.005     
:compile.internal/2                                                  2      41.288       0.011     
:compile.internal_comp/4                                             2      40.414       0.021     
:compile.fold_comp/3                                                73      39.994       0.149     
:compile."-internal_comp/4-anonymous-1-"/2                          59      39.348       0.123     
:compile."-select_passes/2-anonymous-2-"/2                          48      29.527       0.155     
:elixir_module.eval_form/6                                           1      26.695       0.009     
:elixir_compiler.eval_forms/3                                        1      26.646       0.018     
:elixir_compiler.code_loading_compilation/3                          1      26.627       0.020     
:gen_server.decode_msg/8                                             3      25.674       0.006     
:gen_server.handle_msg/5                                             3      25.671       0.015     
:elixir_module.load_form/5                                           1      24.682       0.002     
:elixir_compiler.module/4                                            1      24.680       0.006     
:code.call/1                                                         6       8.540       0.008     
:code_server.call/1                                                  6       8.532       0.133     
:lists.mapfoldl/3                                                  168       8.440       0.367     
:lists.foldl/3                                                     902       8.032       1.553     
:code.load_binary/3                                                  2       6.403       0.004     
:compile."-standard_passes/0-anonymous-3-"/1                         2       4.548       0.002     
:compile.lint_module/1                                               2       4.546       0.012     
:erl_lint.module/3                                                   2       4.528       0.014     
:v3_core.module/2                                                    2       4.219       0.010     
:v3_core."-module/2-anonymous-1-"/3                                 10       4.149       0.010     
:v3_core.form/3                                                     10       4.139       0.018     
:v3_core.function/4                                                  7       3.814       0.029     
:erl_lint.forms/2                                                    2       3.477       0.025     
:compile."-asm_passes/0-anonymous-4-"/1                              2       3.399       0.002     
:compile.beam_asm/1                                                  2       3.397       0.030     
:beam_asm.module/4                                                   2       2.887       0.004     
:sys_core_fold.module/2                                              2       2.883       0.026     
:beam_asm.assemble/4                                                 2       2.883       0.022     
:sys_core_fold."-module/2-lc$^0/1-0-"/1                              9       2.833       0.023     
:sys_core_fold.function_1/1                                          7       2.810       0.028     
:sys_core_fold.expr/3                                               92       2.768       0.223     
:v3_codegen.module/2                                                 2       2.651       0.004     
:v3_codegen.functions/2                                              2       2.647       0.002     
anonymous fn/7 in :elixir_compiler.code_loading_compilation/         1       2.473       0.017     
:v3_codegen."-functions/2-anonymous-0-"/3                            7       2.364       0.007     
:v3_codegen.function/3                                               7       2.358       0.014     
:v3_codegen.cg_fun/7                                                 7       2.350       0.070     
:v3_codegen.cg_list/5                                               16       2.188       0.048     
:elixir_compiler.dispatch_loaded/6                                   1       2.134       0.024     
:lists.foldr/3                                                     179       2.133       0.273     
:v3_codegen.flatmapfoldl/3                                          36       2.074       0.093     
:v3_kernel.module/2                                                  2       2.045       0.014     
:beam_type.module/2                                                  2       2.030       0.004     
:beam_type."-module/2-lc$^0/1-0-"/1                                  9       2.026       0.023     
:beam_type.function/1                                                7       2.003       0.029     
:v3_codegen."-cg_list/5-anonymous-0-"/3                             16       1.979       0.032     
:v3_kernel."-module/2-anonymous-1-"/2                                7       1.967       0.007     
:v3_kernel.function/2                                                7       1.960       0.036     
:v3_codegen.cg/4                                                    19       1.951       0.019     
:v3_codegen.cg/5                                                    19       1.943       0.020     
:v3_codegen.match_cg/6                                               7       1.894       0.077     
:beam_validator.module/2                                             2       1.865       0.004     
:beam_validator.validate/2                                           2       1.861       0.004     
:beam_clean.module/2                                                 2       1.852       0.022     
:beam_block.module/2                                                 2       1.810       0.004     
:beam_block."-module/2-lc$^0/1-0-"/1                                 9       1.806       0.023     
:v3_codegen.match_cg/5                                              14       1.791       0.036     
:beam_block.function/1                                               7       1.783       0.056     
:v3_core.uexpr/3                                                    23       1.730       0.116     
:beam_validator.validate_0/3                                         9       1.727       0.021     
:v3_core.body/4                                                      7       1.720       0.043     
:beam_validator.validate_1/5                                         7       1.700       0.014     
:beam_jump.remove_unused_labels/1                                   21       1.674       0.063     
:beam_validator.validate_2/5                                         7       1.649       0.014     
:code.purge/1                                                        1       1.641       0.001     
:beam_jump.module/2                                                  2       1.641       0.004     
:beam_jump."-module/2-lc$^0/1-0-"/1                                  9       1.637       0.023     
:beam_asm.assemble_1/4                                               9       1.630       0.050     
:beam_jump.function/1                                                7       1.614       0.049     
:beam_validator.validate_3/7                                         7       1.605       0.065     
:beam_dead.module/2                                                  2       1.598       0.006     
:erl_lint.post_traversal_check/2                                     2       1.597       0.032     
:v3_codegen.match_cg/4                                              14       1.569       0.014     
:v3_core.ufun_clause/3                                              16       1.519       0.080     
:v3_codegen.block_cg/4                                              10       1.509       0.060     
:v3_kernel.expr/3                                                   44       1.498       0.128     
:beam_asm.assemble_function/3                                       64       1.483       0.145     
:v3_core.clauses/2                                                  16       1.432       0.043     
:v3_codegen.cg_block/5                                              20       1.403       0.060     
:v3_core.uclause/4                                                  16       1.391       0.257     
:v3_core.clause/2                                                    9       1.380       0.045     
:beam_asm.make_op/2                                                 57       1.338       0.084     
:beam_type.opt/3                                                    69       1.324       0.131     
:beam_dead."-module/2-anonymous-0-"/2                                7       1.242       0.007     
:beam_dead.function/2                                                7       1.235       0.049     
:compile."-standard_passes/0-anonymous-5-"/1                         2       1.216       0.002     
:compile.expand_module/1                                             2       1.214       0.008     
:beam_asm.encode_op/3                                               57       1.199       0.210     
:beam_validator.valfun/4                                            36       1.156       0.125     
:beam_asm.build_file/8                                               2       1.146       0.085     
:sys_pre_expand.module/2                                             2       1.120       0.032     
:v3_core.exprs/2                                                    18       1.095       0.045     
:erl_parse.modify_anno1/3                                          315       1.092       0.722     
:beam_a.module/2                                                     2       1.092       0.004     
:beam_a."-module/2-lc$^0/1-0-"/1                                     9       1.088       0.023     
:beam_peep.module/2                                                  2       1.070       0.006     
:beam_a.function/1                                                   7       1.065       0.021     
:v3_core.expr/2                                                     27       1.030       0.061     
:beam_clean.clean_labels/1                                           6       1.028       0.030     
anonymous fn/2 in :erl_lint.forms/2                                 12       1.021       0.013     
:erl_lint.form/2                                                    12       1.008       0.014     
:beam_utils.live_opt/1                                              14       0.963       0.099     
:fprof.apply_start_stop/4                                            0       0.962       0.007     
:erl_lint.start/2                                                    2       0.956       0.079     
anonymous fn/0 in :elixir_compiler_1.__FILE__/1                      1       0.950       0.005     
:lists.reverse/1                                                   454       0.949       0.706     
:compile.select_passes/2                                           155       0.949       0.301     
:elixir_module.compile/4                                             1       0.942       0.003     
:v3_core.ufun_clauses/3                                              7       0.917       0.008     
:beam_validator.valfun_1/2                                          29       0.886       0.048     
:beam_utils.index_labels/1                                          35       0.884       0.040     
:v3_core."-ufun_clauses/3-anonymous-0-"/3                            9       0.873       0.009     
:v3_kernel."-match/4-anonymous-0-"/3                                 4       0.848       0.004     
:beam_asm.encode_op_1/3                                            146       0.847       0.270     
:erl_lint.attribute_state/2                                          5       0.845       0.008     
:v3_kernel.match_varcon/4                                            4       0.844       0.008     
:beam_utils.index_labels_1/2                                       343       0.844       0.415     
:compile.passes/2                                                    2       0.818       0.015     
:compile.select_cond/5                                              70       0.778       0.172     
:beam_type.simplify/2                                                8       0.778       0.024     
:beam_peep."-module/2-lc$^0/1-0-"/1                                  9       0.762       0.023     
:v3_kernel.kmatch/4                                                  2       0.760       0.004     
:erl_parse.map_anno/2                                                2       0.754       0.004     
:sys_core_fold.opt_simple_let/3                                     10       0.747       0.020     
:beam_peep.function/1                                                7       0.739       0.028     
:sys_core_fold.opt_simple_let_0/3                                   10       0.716       0.030     
:v3_codegen.select_cg/6                                              2       0.710       0.016     
:v3_kernel.match/4                                                   7       0.695       0.009     
:sys_core_fold.body/3                                               44       0.690       0.044     
:erlang.setelement/3                                               684       0.688       0.688     
:sys_core_fold.opt_simple_let_1/4                                   10       0.683       0.060     
:v3_life.module/2                                                    2       0.677       0.004     
:v3_life.functions/2                                                 9       0.673       0.016     
:sys_core_fold.clauses/5                                            10       0.654       0.054     
:v3_life.function/1                                                  7       0.651       0.049     
:beam_jump.opt/2                                                     7       0.646       0.007     
:beam_bs.module/2                                                    2       0.644       0.004     
:sys_core_fold.case_opt/3                                            7       0.640       0.052     
:beam_jump.find_fixpoint/2                                           8       0.639       0.016     
:v3_kernel.match_con/4                                               2       0.629       0.004     
:gb_trees.from_orddict/1                                            66       0.627       0.145     
:beam_jump."-opt/2-anonymous-0-"/2                                   8       0.623       0.016     
:erl_lint.check_unused_functions/2                                   2       0.621       0.024     
:elixir_module.check_module_availability/3                           1       0.618       0.005     
:beam_bs."-module/2-anonymous-0-"/2                                  7       0.617       0.007     
:v3_codegen.cg_setup_call/4                                         10       0.611       0.050     
:beam_bs.function/2                                                  7       0.610       0.021     
:v3_kernel.match_con_1/4                                             2       0.601       0.018     
:beam_utils.live_opt/4                                              98       0.581       0.173     
:beam_type.simplify_float/2                                          8       0.579       0.048     
:beam_asm.encode_arg/2                                              93       0.577       0.241     
:beam_type.simplify_basic/2                                         62       0.569       0.062     
:gen_server.call/3                                                  12       0.568       0.028     
:v3_codegen.enter_cg/6                                               6       0.566       0.048     
:elixir_errors.form_warn/4                                           1       0.565       0.003     
:beam_validator.valfun_2/2                                          11       0.561       0.012     
:elixir_locals.if_tracker/3                                          3       0.557       0.011     
:beam_jump.rem_unused/3                                            295       0.551       0.377     
:v3_life.body/3                                                     18       0.549       0.073     
:beam_validator.valfun_3/2                                          11       0.549       0.024     
:gen.call/4                                                         12       0.540       0.016     
:beam_clean.bs_fix/1                                                 2       0.536       0.002     
:beam_clean.bs_fix/2                                                 9       0.534       0.019     
:gen.do_for_proc/2                                                  12       0.524       0.024     
:beam_validator.valfun_4/2                                          11       0.514       0.021     
:beam_jump.opt/3                                                    77       0.511       0.214     
:beam_clean.bs_function/1                                            7       0.509       0.046     
:beam_type.simplify_basic_1/3                                      143       0.507       0.287     
:erl_lint.spec_decl/4                                                1       0.505       0.004     
:elixir_def.unwrap_definitions/2                                     1       0.500       0.008     
:v3_life.expr/3                                                     18       0.491       0.075     
anonymous fn/4 in :gen.call/4                                       12       0.489       0.015     
:gb_trees.balance_list/2                                            66       0.482       0.142     
:erlang.++/2                                                       467       0.479       0.479     
:elixir_locals.warn_unused_local/3                                   1       0.477       0.001     
:v3_core.safe_list/2                                                 5       0.475       0.005     
