Warmup...
Reading trace data...
.........................................
End of trace!
Processing data...
Creating output...
Done!

                                                                   CNT    ACC (ms)    OWN (ms)     
Total                                                            26195      73.522      65.180     
:suspend                                                            50     141.922       0.000     
:elixir_module.do_compile/5                                          2      73.470       0.047     
:proc_lib.init_p/5                                                   1      72.332       0.011     
:proc_lib.init_p_do_apply/3                                          1      72.293       0.004     
:gen.init_it/6                                                       1      72.275       0.002     
:gen.init_it2/7                                                      1      72.273       0.002     
:gen_server.init_it/6                                                1      72.271       0.010     
:gen_server.loop/6                                                   3      72.153       0.017     
:erlang.put/2                                                       21      72.047       0.029     
:elixir_compiler.inner_module/5                                      2      70.190       0.042     
:compile.noenv_forms/2                                               2      61.466       0.005     
:compile.do_compile/2                                                2      61.461       0.016     
:erlang.apply/2                                                      2      61.248       0.012     
:compile."-do_compile/2-anonymous-0-"/2                              2      61.194       0.008     
:compile.internal/2                                                  2      61.181       0.017     
:compile.internal_comp/4                                             2      59.920       0.058     
:compile.fold_comp/3                                                73      59.291       0.270     
:compile."-internal_comp/4-anonymous-1-"/2                          59      58.304       0.170     
:compile."-select_passes/2-anonymous-2-"/2                          48      44.344       0.263     
:elixir_module.eval_form/6                                           1      36.467       0.009     
:elixir_compiler.eval_forms/3                                        1      36.411       0.004     
:elixir_compiler.code_loading_compilation/3                          1      36.406       0.025     
:gen_server.decode_msg/8                                             3      35.540       0.006     
:gen_server.handle_msg/5                                             3      35.538       0.013     
:elixir_module.load_form/5                                           1      34.206       0.003     
:elixir_compiler.module/4                                            1      34.203       0.014     
:lists.mapfoldl/3                                                  168      12.850       0.538     
:lists.foldl/3                                                     902      11.629       2.289     
:code.call/1                                                         6       7.672       0.010     
:code_server.call/1                                                  6       7.662       0.098     
:compile."-standard_passes/0-anonymous-3-"/1                         2       6.636       0.005     
:compile.lint_module/1                                               2       6.631       0.017     
:erl_lint.module/3                                                   2       6.608       0.026     
:v3_core.module/2                                                    2       6.001       0.014     
:v3_core."-module/2-anonymous-1-"/3                                 10       5.900       0.017     
:v3_core.form/3                                                     10       5.883       0.025     
:v3_core.function/4                                                  7       5.500       0.052     
:erl_lint.forms/2                                                    2       5.179       0.044     
:compile."-asm_passes/0-anonymous-4-"/1                              2       4.552       0.003     
:compile.beam_asm/1                                                  2       4.549       0.025     
:sys_core_fold.module/2                                              2       4.330       0.039     
:sys_core_fold."-module/2-lc$^0/1-0-"/1                              9       4.256       0.034     
:sys_core_fold.function_1/1                                          7       4.222       0.041     
:sys_core_fold.expr/3                                               92       4.164       0.340     
:code.load_binary/3                                                  2       3.983       0.006     
anonymous fn/7 in :elixir_compiler.code_loading_compilation/         1       3.912       0.004     
:v3_codegen.module/2                                                 2       3.869       0.006     
:v3_codegen.functions/2                                              2       3.863       0.004     
:beam_asm.module/4                                                   2       3.746       0.025     
:beam_asm.assemble/4                                                 2       3.721       0.034     
:elixir_compiler.dispatch_loaded/6                                   1       3.485       0.009     
:v3_codegen."-functions/2-anonymous-0-"/3                            7       3.477       0.015     
:v3_codegen.function/3                                               7       3.463       0.023     
:v3_codegen.cg_fun/7                                                 7       3.446       0.103     
:beam_type.module/2                                                  2       3.429       0.008     
:beam_type."-module/2-lc$^0/1-0-"/1                                  9       3.421       0.034     
:beam_type.function/1                                                7       3.387       0.065     
:v3_codegen.cg_list/5                                               16       3.209       0.064     
:beam_validator.module/2                                             2       3.207       0.008     
:beam_validator.validate/2                                           2       3.199       0.008     
:code.purge/1                                                        1       3.110       0.003     
:v3_codegen.flatmapfoldl/3                                          36       3.047       0.140     
:v3_kernel.module/2                                                  2       2.993       0.020     
:lists.foldr/3                                                     179       2.985       0.390     
:beam_validator.validate_0/3                                         9       2.969       0.031     
:beam_validator.validate_1/5                                         7       2.938       0.028     
:v3_codegen."-cg_list/5-anonymous-0-"/3                             16       2.906       0.046     
:v3_kernel."-module/2-anonymous-1-"/2                                7       2.877       0.013     
:v3_codegen.cg/4                                                    19       2.871       0.049     
:v3_kernel.function/2                                                7       2.864       0.053     
:v3_codegen.cg/5                                                    19       2.857       0.037     
:beam_block.module/2                                                 2       2.849       0.006     
:beam_validator.validate_2/5                                         7       2.847       0.030     
:beam_block."-module/2-lc$^0/1-0-"/1                                 9       2.843       0.045     
:v3_codegen.match_cg/6                                               7       2.802       0.118     
:beam_block.function/1                                               7       2.798       0.082     
:beam_validator.validate_3/7                                         7       2.771       0.128     
:v3_codegen.match_cg/5                                              14       2.630       0.051     
:v3_core.uexpr/3                                                    23       2.507       0.178     
:erl_lint.post_traversal_check/2                                     2       2.474       0.051     
:v3_core.body/4                                                      7       2.449       0.067     
:beam_jump.remove_unused_labels/1                                   21       2.390       0.092     
:beam_dead.module/2                                                  2       2.382       0.009     
:v3_codegen.match_cg/4                                              14       2.325       0.023     
:beam_jump.module/2                                                  2       2.280       0.006     
:beam_jump."-module/2-lc$^0/1-0-"/1                                  9       2.274       0.029     
:beam_jump.function/1                                                7       2.245       0.060     
:v3_codegen.block_cg/4                                              10       2.240       0.091     
:beam_clean.module/2                                                 2       2.217       0.030     
:beam_asm.assemble_1/4                                               9       2.180       0.060     
:beam_type.opt/3                                                    69       2.176       0.242     
:v3_core.ufun_clause/3                                              16       2.159       0.121     
:v3_kernel.expr/3                                                   44       2.121       0.192     
:v3_codegen.cg_block/5                                              20       2.091       0.079     
:beam_validator.valfun/4                                            36       2.072       0.248     
:beam_asm.assemble_function/3                                       64       1.988       0.203     
:v3_core.uclause/4                                                  16       1.980       0.381     
:v3_core.clauses/2                                                  16       1.979       0.054     
:v3_core.clause/2                                                    9       1.916       0.062     
:beam_dead."-module/2-anonymous-0-"/2                                7       1.850       0.011     
:beam_dead.function/2                                                7       1.839       0.058     
:compile."-standard_passes/0-anonymous-5-"/1                         2       1.797       0.004     
:compile.expand_module/1                                             2       1.793       0.013     
:beam_asm.make_op/2                                                 57       1.785       0.130     
:sys_pre_expand.module/2                                             2       1.645       0.052     
:beam_utils.live_opt/1                                              14       1.644       0.181     
:beam_a.module/2                                                     2       1.635       0.007     
:beam_a."-module/2-lc$^0/1-0-"/1                                     9       1.628       0.028     
:beam_validator.valfun_1/2                                          29       1.612       0.095     
:beam_a.function/1                                                   7       1.600       0.029     
:beam_asm.encode_op/3                                               57       1.595       0.313     
:v3_core.exprs/2                                                    18       1.559       0.067     
:v3_core.expr/2                                                     27       1.482       0.089     
anonymous fn/2 in :erl_lint.forms/2                                 12       1.466       0.019     
:erl_lint.form/2                                                    12       1.447       0.022     
:beam_peep.module/2                                                  2       1.438       0.009     
:fprof.apply_start_stop/4                                            0       1.428       0.008     
:erl_parse.modify_anno1/3                                          315       1.409       0.878     
anonymous fn/0 in :elixir_compiler_1.__FILE__/1                      1       1.401       0.004     
:elixir_module.compile/4                                             1       1.393       0.005     
:beam_asm.build_file/8                                               2       1.370       0.117     
:compile.select_passes/2                                           155       1.337       0.407     
:beam_utils.index_labels/1                                          35       1.328       0.066     
:beam_clean.clean_labels/1                                           6       1.323       0.036     
:v3_core.ufun_clauses/3                                              7       1.322       0.016     
:erl_lint.start/2                                                    2       1.289       0.136     
:lists.reverse/1                                                   454       1.270       0.993     
:beam_type.simplify/2                                                8       1.270       0.037     
:beam_utils.index_labels_1/2                                       343       1.254       0.661     
:v3_core."-ufun_clauses/3-anonymous-0-"/3                            9       1.247       0.017     
:v3_kernel."-match/4-anonymous-0-"/3                                 4       1.205       0.005     
:garbage_collect                                                    94       1.202       1.202     
:compile.passes/2                                                    2       1.201       0.042     
:v3_kernel.match_varcon/4                                            4       1.200       0.012     
:erl_lint.attribute_state/2                                          5       1.195       0.016     
:compile.select_cond/5                                              70       1.155       0.275     
:beam_asm.encode_op_1/3                                            146       1.120       0.366     
:beam_bs.module/2                                                    2       1.106       0.009     
:v3_kernel.kmatch/4                                                  2       1.078       0.007     
:sys_core_fold.opt_simple_let/3                                     10       1.076       0.033     
:beam_validator.valfun_2/2                                          11       1.069       0.023     
:beam_bs."-module/2-anonymous-0-"/2                                  7       1.061       0.015     
:v3_life.module/2                                                    2       1.057       0.006     
:v3_life.functions/2                                                 9       1.051       0.057     
:beam_validator.valfun_3/2                                          11       1.046       0.046     
:beam_bs.function/2                                                  7       1.046       0.040     
:sys_core_fold.opt_simple_let_0/3                                   10       1.032       0.047     
:sys_core_fold.case_opt/3                                            7       1.013       0.083     
:beam_peep."-module/2-lc$^0/1-0-"/1                                  9       1.013       0.024     
:beam_utils.live_opt/4                                              98       1.010       0.347     
:beam_peep.function/1                                                7       0.989       0.040     
:sys_core_fold.body/3                                               44       0.988       0.079     
:v3_life.function/1                                                  7       0.986       0.070     
